Город;id вуза;Аббревиатура;Крупное направление;Направление подготовки;id профиля;Профиль;Факультет;Есть набор в 2020 году;2020 очная Прох.балл Бюджет 1 волна;2020 очная Прох.балл Бюджет 2 волна;2020 очная Прох.балл Платно ;2020 очная Число мест Бюджет ;2020 очная Число мест Платно ;2020 очная Конкурс Бюджет ;2020 очная Конкурс Платно ;2020 очная Срок  ;2020 очная Стоимость  ;2020 очно-заочная Прох.балл Бюджет ;2020 очно-заочная Число мест Бюджет ;2020 очно-заочная Число мест Платно ;2020 очно-заочная Срок  ;2020 очно-заочная Стоимость  ;2020 заочная Прох.балл Бюджет ;2020 заочная Число мест Бюджет ;2020 заочная Число мест Платно ;2020 заочная Срок  ;2020 заочная Стоимость  ;Адрес обучения по данному профилю;Содержание программы;Профессии;Min балл  Мат;Min балл Рус;Min балл Общ;Min балл Физ;Min балл Био;Min балл Ист;Min балл Иняз;Min балл Хим;Min балл Лит;Min балл Инф;Min балл Гео;Мат;Рус;Общ;Физ;Био;Ист;Иняз;Хим;Лит;Инф;Гео;ДВИ1;ДВИ2;ДВИ3;ДВИ4;ДВИ5;ДВИ6;ДВИ7;Золотая медаль;Значок ГТО;Перечневая олимпиада;Волонтерство;Итоговое сочинение;КОНЕЦ ТАБЛИЦЫ
г. Владикавказ;0783;СОГУ им. Хетагурова;Психологические науки;37.03.01 Психология;212021;Психология;Психолого-педагогический факультет;Да;Набора не было;Набора не было;Набора не было;0;0;;;;;Набора не было;0;14;4,5;40000;Набора не было;0;0;;;г. Владикавказ, ул. Ватутина, д. 44-46;;;39;40;;;39;;;;;;;1;1;0;0;2;0;0;0;0;0;0;;;;;;;;5;1;5;1;0;
г. Владикавказ;0783;СОГУ им. Хетагурова;Науки о Земле;05.03.02 География;211086;Региональная политика и территориальное проектирование ;Факультет географии и геоэкологии;Да;148;127;127;9;Есть;;;4;110000;Набора не было;0;0;;;Набора не было;0;0;;;г. Владикавказ, ул. Ватутина, д. 44-46;;;39;40;;;;;;;;;40;1;1;0;0;0;0;0;0;0;0;2;;;;;;;;5;1;5;1;0;
г. Владикавказ;0783;СОГУ им. Хетагурова;Природные ресурсы и технологии;05.03.06 Экология и природопользование;211103;Экспертная деятельность в экологии;Факультет географии и геоэкологии;Да;159;139;;10;;;;4;110000;Набора не было;0;0;;;Набора не было;0;0;;;г. Владикавказ, ул. Ватутина, д. 44-46;;;39;40;;;;;;;;;40;1;1;0;0;0;0;0;0;0;0;2;;;;;;;;5;1;5;1;0;
г. Владикавказ;0783;СОГУ им. Хетагурова;Биология и техносферная безопасность;19.03.02 Продукты питания из растительного сырья;211504;Технология хлеба, кондитерских и макаронных изделий;Факультет химии, биологии и биотехнологии;Да;155;152;;14;;;;4;110000;Набора не было;0;0;;;Набора не было;0;0;;;г. Владикавказ, ул. Ватутина, д. 44-46;;;39;40;;;39;;;;;;;2;1;0;0;1;0;0;0;0;0;0;;;;;;;;5;1;5;1;0;
г. Владикавказ;0783;СОГУ им. Хетагурова;Биология и техносферная безопасность;19.03.02 Продукты питания из растительного сырья;211505;Технология бродильных производств и виноделие;Факультет химии, биологии и биотехнологии;Да;155;152;;14;;;;4;110000;Набора не было;0;0;;;Набора не было;0;0;;;г. Владикавказ, ул. Ватутина, д. 44-46;;;39;40;;;39;;;;;;;2;1;0;0;1;0;0;0;0;0;0;;;;;;;;5;1;5;1;0;
г. Владикавказ;0787;СОГУ им. Хетагурова;Химические науки;04.03.01 Химия;211075;Химия;Факультет химии, биологии и биотехнологии;Да;176;156;;15;;;;4;110000;Набора не было;0;0;;;Набора не было;0;0;;;г. Владикавказ, ул. Ватутина, д. 44-46;;;;40;;;39;;;39;;;;0;1;0;0;1;0;0;2;0;0;0;;;;;;;;5;1;5;1;0;
г. Владикавказ;0787;СОГУ им. Хетагурова;Биология и техносферная безопасность;06.03.01 Биология;211118;Биоэкология;Факультет химии, биологии и биотехнологии;Да;161;138;;20;;;;4;110000;Набора не было;0;0;;;Набора не было;0;0;;;г. Владикавказ, ул. Ватутина, д. 44-46;;;;40;;;39;;;39;;;;0;1;0;0;2;0;0;1;0;0;0;;;;;;;;5;1;5;1;0;
г. Владикавказ;0787;СОГУ им. Хетагурова;Медицина;33.05.01 Фармация;211808;Фармация;Факультет стоматологии и фармации;Да;214;184;122;14;Есть;;;5;110000;Набора не было;0;0;;;Набора не было;0;0;;;г. Владикавказ, ул. Ватутина, д. 44-46;;;;40;;;39;;;39;;;;0;1;0;0;1;0;0;2;0;0;0;;;;;;;;5;1;5;1;0;
г. Владикавказ;0787;СОГУ им. Хетагурова;Медицина;31.05.03 Стоматология;211802;Стоматология;Факультет стоматологии и фармации;Да;239;233;122;9;Есть;;;5;140000;Набора не было;0;0;;;Набора не было;0;0;;;г. Владикавказ, ул. Ватутина, д. 44-46;;;;40;;;39;;;39;;;;0;1;0;0;1;0;0;2;0;0;0;;;;;;;;5;1;5;1;0;
г. Владикавказ;0787;СОГУ им. Хетагурова;СМИ и издательское дело;42.03.01 Реклама и связи с общественностью;212392;Реклама и связи с общественностью;Факультет журналистики;Да;Набора не было;Набора не было;138;0;Есть;;;4;94000;Набора не было;0;0;;;Набора не было;0;0;;;г. Владикавказ, ул. Ватутина, д. 44-46;;;;40;45;;;35;;;;;;0;1;2;0;0;1;0;0;0;0;0;;;;;;;;5;1;5;1;0;
